,player,minutes_played,assists,shots,shots_on_target,yellow_cards,red_cards,team_touches,pressures,tackles,interceptions,blocks,xg,op_xg,xa,shot_creating_actions,goal_creating_actions,passes_completed,passes_attempted,progressive_distance_passed,carries,progressive_distance_carried,dribbles_completed,dribbles_attempted,defensive_pen_area_touches,D3_touches,M3_touches,A3_touches,attacking_pen_area_touches,shot_on_target_blocks,live_ball_touches,players_dribbles_past,carries_total_distance,pass_target,passes_received,miscontrols,possessions_lost,total_distance_passed,short_passes_completed,short_passes_attempted,medium_passes_completed,medium_passes_attempted,long_passes_completed,long_passes_attempted,key_passes,final_third_entry_passes,penalty_area_entry_passes,penalty_area_entry_crosses,progressive_passes,tackles_attempted,tackles_won,D3_tackles,M3_tackles,A3_tackles,dribbler_tackles_completed,dribbler_tackles_attempted,pressure_regains,D3_pressures,M3_pressures,A3_pressures,shot_blocks,errors,live_ball_passes,dead_ball_passes,free_kicks_taken,through_balls,pressured_passes,switch_passes,crosses,corners,ground_passes,low_passes,hight_passes,left_foot_passes,right_foot_passes,head_passes,throw_ins_taken,other_pass_type,passes_to_offside,passes_out_of_play,passes_intercepted,passes_blocked,pass_blocks,fouls,fouls_drawn,offside,penalties_won,penalties_conceded,ball_recoveries,aerials_won,aerials_lost,team_result,date
0,Dominic Calvert-Lewin,90,0,1,1,0,0,34,7,0,0,1,0.0,0.0,0.2,2,0,15,22,2,21,1,0,1,3,4,14,17,7,0,33,0,61,48,23,3,2,241,9,10,3,6,2,2,1,1,1,0,2,0,0,0,0,0,0,0,1,0,3,4,0,0,21,1,0,0,5,1,0,1,10,11,1,3,13,2,0,1,0,0,0,3,1,2,0,1,0,0,5,3,1,L,30/01/2021
1,Richarlison,90,0,4,1,0,0,52,9,1,1,2,0.3,0.3,0.1,3,0,25,33,2,44,6,2,4,2,12,25,21,7,0,52,2,270,58,41,4,3,367,11,12,12,17,1,2,2,1,1,0,2,1,0,1,0,0,0,1,3,1,7,1,0,0,33,0,0,0,10,0,0,0,27,3,3,5,25,1,0,1,0,0,0,1,2,0,3,0,0,0,5,2,4,L,30/01/2021
2,Alex Iwobi,62,0,0,0,0,0,22,4,1,0,0,0.0,0.0,0.0,1,0,15,19,4,22,6,1,1,0,5,16,7,0,0,22,1,161,24,19,0,1,300,5,5,8,10,2,2,0,0,1,0,4,1,1,1,0,0,1,1,3,2,1,1,0,0,19,0,0,0,1,0,1,0,16,0,3,3,16,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,L,30/01/2021
3,Andr� Gomes,28,0,1,0,0,0,37,7,2,0,0,0.0,0.0,0.0,2,0,24,33,3,26,5,0,0,1,7,18,17,2,0,37,0,162,28,25,0,1,430,13,14,8,11,3,7,0,3,1,0,3,2,1,1,0,1,1,1,3,1,4,2,0,0,33,0,0,0,1,2,1,0,21,6,6,9,19,4,0,0,0,2,1,0,0,1,0,0,0,0,9,1,0,L,30/01/2021
4,James Rodr�guez,90,0,1,1,1,0,77,12,0,0,4,0.2,0.2,0.3,2,0,55,66,12,55,7,0,0,0,15,42,29,2,0,67,0,377,68,57,1,2,1230,16,19,23,25,14,18,2,7,4,1,12,0,0,0,0,0,0,0,3,4,2,6,0,0,55,11,3,0,9,4,2,3,43,9,14,57,5,1,2,1,0,1,1,2,4,2,5,3,0,0,4,0,0,L,30/01/2021
5,Gylfi Sigur�sson,90,0,0,0,1,0,72,20,3,1,4,0.0,0.0,0.0,0,0,49,58,2,49,0,1,1,4,21,45,8,0,0,68,1,163,53,49,0,3,1049,16,18,22,23,11,17,0,5,0,0,2,3,1,1,2,0,2,3,3,5,14,1,1,0,54,4,1,0,6,3,0,3,44,7,7,5,51,1,0,0,1,0,1,0,3,4,0,0,0,0,8,1,0,L,30/01/2021
6,Abdoulaye Doucour�,90,0,0,0,0,0,75,9,0,0,3,0.0,0.0,0.2,3,0,61,69,1,52,2,0,0,5,19,42,18,3,0,75,0,215,58,54,1,0,1083,33,35,21,24,7,8,2,3,0,0,1,0,0,0,0,0,0,1,3,5,2,2,2,0,69,0,0,0,9,1,1,0,56,11,2,7,59,0,0,0,0,1,2,1,1,0,0,0,0,0,16,3,0,L,30/01/2021
7,Lucas Digne,90,0,1,0,0,0,94,29,9,0,5,0.0,0.0,0.1,2,0,57,74,6,59,7,0,0,2,33,34,33,1,0,86,0,295,60,54,1,1,1002,30,34,20,25,6,12,2,6,1,0,6,9,4,6,2,1,5,6,7,17,5,7,0,0,66,8,0,0,7,2,7,0,41,13,20,57,3,2,8,1,0,4,0,2,5,3,1,0,0,0,11,4,2,L,30/01/2021
8,Michael Keane,90,0,0,0,1,0,57,14,1,4,2,0.0,0.0,0.0,1,0,38,45,4,32,3,0,0,13,39,19,1,1,0,53,0,228,30,30,0,0,804,10,11,20,22,7,11,0,3,0,0,4,1,1,1,0,0,0,3,5,8,6,0,1,0,41,4,1,0,7,0,0,0,31,3,11,12,27,2,0,0,1,0,1,1,1,2,0,0,0,0,8,9,1,L,30/01/2021
9,Yerry Mina,90,0,3,0,0,0,52,5,1,0,2,0.4,0.4,0.0,1,0,38,40,4,32,1,0,0,13,29,27,4,4,0,51,0,273,40,38,0,0,632,18,18,15,15,3,5,0,2,0,0,4,1,0,1,0,0,1,1,1,4,1,0,2,0,39,1,0,0,1,0,0,0,35,3,2,5,34,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,L,30/01/2021
