,shots,shots_on_target,yellow_cards,red_cards,team_touches,pressures,tackles,interceptions,blocks,xg,op_xg,xa,shot_creating_actions,passes_completed,passes_attempted,progressive_distance_passed,carries,progressive_distance_carried,dribbles_completed,dribbles_attempted,defensive_pen_area_touches,D3_touches,M3_touches,A3_touches,attacking_pen_area_touches,shot_on_target_blocks,live_ball_touches,players_dribbles_past,carries_total_distance,pass_target,passes_received,miscontrols,possessions_lost,total_distance_passed,short_passes_completed,short_passes_attempted,medium_passes_completed,medium_passes_attempted,long_passes_completed,long_passes_attempted,key_passes,final_third_entry_passes,penalty_area_entry_passes,penalty_area_entry_crosses,progressive_passes,tackles_attempted,tackles_won,D3_tackles,M3_tackles,A3_tackles,dribbler_tackles_completed,dribbler_tackles_attempted,pressure_regains,D3_pressures,M3_pressures,A3_pressures,shot_blocks,errors,live_ball_passes,dead_ball_passes,free_kicks_taken,through_balls,pressured_passes,switch_passes,crosses,corners,ground_passes,low_passes,hight_passes,left_foot_passes,right_foot_passes,head_passes,throw_ins_taken,other_pass_type,passes_to_offside,passes_out_of_play,passes_intercepted,passes_blocked,pass_blocks,fouls,fouls_drawn,offside,penalties_won,penalties_conceded,ball_recoveries,aerials_won,aerials_lost,team_result
0,10,2,3,1,703,136,17,8,17,1.0,1.0,0.4,13,443,560,2951,437,1181,7,17,75,245,341,151,19,0,640,8,2465,552,443,21,19,8805,164,191,205,243,58,90,7,29,7,1,46,17,9,10,6,1,8,14,54,51,57,28,5,0,493,67,20,0,50,16,15,2,329,62,169,139,330,33,39,3,0,12,9,23,12,14,16,0,0,0,112,18,27,D
1,12,2,2,0,489,134,23,4,8,0.9,0.9,0.6,18,238,336,2076,291,1065,18,25,90,210,207,106,15,0,436,18,2090,313,238,16,22,4839,93,114,107,125,35,82,8,14,3,0,20,23,13,13,5,5,10,20,32,50,61,23,1,0,282,54,11,2,43,14,10,4,191,56,89,88,189,10,28,9,2,24,12,13,7,11,10,3,0,0,100,24,26,W
2,12,0,3,0,671,172,13,2,7,1.0,1.0,0.9,19,466,579,3137,440,1458,17,18,44,154,355,207,24,0,615,18,2791,564,466,18,10,9011,203,231,197,232,65,96,11,44,11,1,52,13,8,6,7,0,8,23,53,48,80,44,2,0,519,60,18,0,138,14,19,6,367,105,107,139,361,18,29,9,0,12,6,17,5,18,10,1,0,0,97,30,17,L
3,15,6,1,0,646,132,24,9,11,1.2,1.2,1.1,23,391,499,3055,382,1356,7,13,82,186,317,190,32,0,605,9,2388,483,391,14,18,8704,131,155,182,211,76,121,10,38,12,6,32,24,15,6,15,3,2,16,46,30,63,39,2,1,457,42,14,0,98,27,17,7,312,49,138,160,271,26,16,11,1,9,10,16,9,12,12,1,0,0,116,26,26,W
4,14,5,4,0,650,174,21,9,24,1.3,1.3,0.7,19,390,512,2853,401,1089,19,24,56,197,321,163,26,0,599,21,2269,464,390,15,13,8202,138,161,176,210,67,117,8,30,10,4,51,21,9,7,9,5,14,30,48,35,84,55,4,0,461,51,9,1,62,20,17,7,277,113,122,151,293,24,28,9,0,12,13,18,20,14,4,0,0,0,114,23,22,L
5,16,3,1,0,719,110,14,5,9,1.0,1.0,0.4,23,479,594,3204,480,1832,16,31,50,184,305,281,38,0,653,19,3140,552,479,16,10,10058,182,200,194,220,94,147,10,44,16,6,48,14,7,4,4,6,7,19,37,32,40,38,0,0,528,66,9,2,88,33,24,12,354,115,125,199,325,15,37,4,1,9,5,16,9,9,8,1,0,0,107,18,23,L
6,12,6,2,0,495,184,22,9,14,2.6,2.6,1.1,20,311,389,2545,298,1101,15,18,89,198,203,126,24,0,449,16,1942,367,311,15,14,6658,115,129,129,142,61,97,8,23,8,1,23,22,12,12,7,3,10,31,35,83,68,33,4,0,343,46,11,1,80,15,11,5,237,66,86,109,239,8,15,3,2,8,3,16,10,4,8,2,0,0,66,14,14,L
7,11,2,3,1,608,142,8,6,16,0.8,0.8,0.3,15,387,515,2644,338,1227,8,14,62,215,278,144,20,0,557,8,2049,474,387,12,8,7951,149,169,160,203,70,121,8,24,3,0,31,8,3,4,3,1,5,8,42,44,62,36,3,0,465,50,9,0,88,15,10,9,288,104,123,169,260,31,22,8,1,13,8,13,13,12,5,1,0,0,108,33,32,L
8,18,10,2,0,549,177,26,12,17,2.1,2.1,1.2,26,312,437,3015,340,1133,12,19,52,152,254,176,35,0,500,13,2080,414,312,9,10,6671,112,143,136,167,59,110,12,31,14,2,50,26,18,13,8,5,2,10,58,48,79,50,2,0,382,55,18,1,117,19,17,11,273,64,100,112,250,28,18,7,7,9,8,15,15,15,14,9,0,0,108,23,21,W
9,10,6,1,0,574,173,16,16,13,0.6,0.6,0.6,17,369,463,2484,401,1178,3,11,55,199,272,139,20,0,523,3,2248,444,369,17,9,7209,154,174,167,190,47,83,7,28,7,0,31,16,7,7,6,3,3,16,42,35,80,58,1,0,409,54,15,1,84,12,6,5,313,68,82,132,279,10,25,7,2,10,7,16,12,12,12,2,0,1,78,11,9,L
